              1 	           1104.9800 	           7074.8400 	            303.4000 	
            100 	            683.8400 	           6835.4700 	            262.6000 	
            101 	            764.9100 	           6871.1800 	            262.0000 	
            102 	            853.6900 	           6908.8100 	            260.6000 	
            103 	            921.2400 	           6950.3100 	            259.4000 	
            104 	            991.6900 	           6995.6700 	            261.3000 	
            105 	           1085.3000 	           7002.4200 	            260.0000 	
            106 	           1116.1800 	           6938.7300 	            259.7000 	
            107 	           1139.3400 	           6865.3900 	            270.7000 	
            108 	           1167.8400 	           6787.9000 	            277.7000 	
            109 	           1134.5200 	           6751.5100 	            247.6000 	
            110 	           1079.0000 	           6717.8300 	            260.2000 	
            111 	            877.6100 	           6693.2100 	            262.7000 	
            112 	            753.3300 	           6690.7100 	            261.7000 	
            113 	            662.6100 	           6716.7700 	            248.0000 	
            114 	            627.8700 	           6785.2900 	            253.7000 	
