              2 	           1251.7800 	           6686.8900 	            317.8000 	
              3 	            914.7400 	           6647.2800 	            301.3000 	
              4 	            612.1000 	           6645.0200 	            280.8000 	
              5 	            583.3100 	           6865.1400 	            294.0000 	
              6 	            921.8500 	           6754.4900 	            245.6000 	
            200 	           1019.1700 	           7108.2300 	            306.8000 	
            201 	           1216.1200 	           7053.7500 	            314.5000 	
            202 	           1152.9900 	           7167.6200 	            309.6000 	
            203 	           1202.5400 	           6632.4600 	            308.0000 	
            204 	           1351.0700 	           6683.5900 	            317.3000 	
            205 	           1334.9100 	           6755.1500 	            323.1000 	
            206 	            876.7500 	           6604.1200 	            296.1000 	
            207 	            976.4300 	           6630.0300 	            303.2000 	
            208 	            690.4700 	           6597.6600 	            283.5000 	
            209 	            579.7200 	           6567.7500 	            281.9000 	
            210 	            536.5400 	           6675.9600 	            268.4000 	
            211 	            620.4400 	           6923.6600 	            303.2000 	
            212 	            541.7400 	           6918.4100 	            309.9000 	
            213 	            513.9000 	           6836.0800 	            286.6000 	
